,Data,Hora,Home,S,Away,Res,,
309,,20:30,Portuguesa (SP),-,EC Vitória BA,3:2 (2:1),,
310,21.10.2011,20:30,Ponte Preta,-,Paraná Clube,4:3 (1:0),,
311,,20:30,Duque de Caxias,-,Guarani FC,0:2 (0:0),,
312,,20:30,ASA,-,Salgueiro AC,0:1 (0:1),,
313,,20:30,Vila Nova FC GO,-,Grêmio Barueri,2:2 (0:1),,
314,,20:30,Boa EC,-,Bragantino,1:2 (1:1),,
315,22.10.2011,16:20,Sport Club Recife,-,Goiás EC,0:1 (0:0),,
316,,16:20,Americana Futebol,-,Portuguesa (SP),2:3 (2:1),,
317,,16:20,Criciúma EC,-,Icasa,5:2 (2:1),,
318,,16:20,EC Vitória BA,-,Clube Náutico,3:2 (1:0),,
319,,16:20,São Caetano,-,ABC FC,4:0 (2:0),,
320,25.10.2011,20:30,Guarani FC,-,Grêmio Barueri,3:0 (1:0),,
321,,20:30,Americana Futebol,-,Criciúma EC,0:0 (0:0),,
322,28.10.2011,20:30,Portuguesa (SP),-,Ponte Preta,2:1 (2:0),,
323,,20:30,Salgueiro AC,-,Vila Nova FC GO,1:1 (0:1),,
324,,20:30,Goiás EC,-,Duque de Caxias,4:1 (1:1),,
325,29.10.2011,16:20,Bragantino,-,Icasa,1:1 (1:0),,
326,,16:20,Clube Náutico,-,Sport Club Recife,2:0 (2:0),,
327,,16:20,Paraná Clube,-,São Caetano,2:2 (1:0),,
328,,16:20,Boa EC,-,EC Vitória BA,1:2 (0:1),,
329,,16:20,ABC FC,-,ASA,1:1 (0:0),,
330,01.11.2011,20:30,São Caetano,-,Guarani FC,1:2 (0:1),,
331,,20:30,Criciúma EC,-,Portuguesa (SP),1:1 (1:0),,
332,04.11.2011,20:30,Duque de Caxias,-,Bragantino,2:6 (1:2),,
333,,20:30,Sport Club Recife,-,Boa EC,4:1 (0:1),,
334,,20:30,Vila Nova FC GO,-,Goiás EC,2:3 (1:3),,
335,,20:30,EC Vitória BA,-,Salgueiro AC,5:1 (3:1),,
336,05.11.2011,16:20,Ponte Preta,-,Americana Futebol,0:0 (0:0),,
337,,17:00,Grêmio Barueri,-,Paraná Clube,1:0 (1:0),,
338,,17:00,ASA,-,Clube Náutico,1:2 (0:1),,
339,,17:00,Icasa,-,ABC FC,1:3 (0:1),,
340,08.11.2011,20:30,Portuguesa (SP),-,Sport Club Recife,2:2 (0:1),,
341,,20:30,Guarani FC,-,Icasa,0:1 (0:0),,
342,,20:30,Duque de Caxias,-,Vila Nova FC GO,1:1 (0:0),,
343,,20:30,Clube Náutico,-,Grêmio Barueri,2:1 (0:1),,
344,,20:30,Americana Futebol,-,EC Vitória BA,0:0 (0:0),,
345,,20:30,Salgueiro AC,-,Bragantino,0:1 (0:0),,
346,,20:30,Criciúma EC,-,Ponte Preta,1:1 (1:1),,
347,,20:30,Goiás EC,-,São Caetano,1:0 (0:0),,
348,,20:30,Boa EC,-,ASA,2:1 (2:1),,
349,,20:30,ABC FC,-,Paraná Clube,1:1 (1:0),,
350,11.11.2011,20:30,Ponte Preta,-,Boa EC,1:2 (1:0),,
351,,20:30,Sport Club Recife,-,Americana Futebol,4:0 (4:0),,
352,,20:30,Icasa,-,Salgueiro AC,1:0 (1:0),,
353,12.11.2011,16:20,São Caetano,-,Clube Náutico,0:0 (0:0),,
354,,16:20,EC Vitória BA,-,Criciúma EC,3:1 (1:0),,
355,,17:00,Bragantino,-,Goiás EC,4:0 (2:0),,
356,,17:00,Grêmio Barueri,-,ABC FC,1:3 (0:3),,
357,,17:00,ASA,-,Duque de Caxias,2:0 (0:0),,
358,,17:00,Paraná Clube,-,Guarani FC,3:0 (3:0),,
359,,17:00,Vila Nova FC GO,-,Portuguesa (SP),1:3 (0:0),,
360,18.11.2011,20:30,Portuguesa (SP),-,Duque de Caxias,4:0 (2:0),,
361,19.11.2011,17:00,Ponte Preta,-,ABC FC,4:1 (1:1),,
362,,17:00,Bragantino,-,ASA,0:1 (0:1),,
363,,17:00,Sport Club Recife,-,Paraná Clube,3:0 (2:0),,
364,,17:00,Americana Futebol,-,Vila Nova FC GO,2:1 (1:1),,
365,,17:00,Salgueiro AC,-,Guarani FC,1:4 (1:2),,
366,,17:00,Criciúma EC,-,Grêmio Barueri,1:2 (0:1),,
367,,17:00,Goiás EC,-,Icasa,0:0 (0:0),,
368,,17:00,Boa EC,-,Clube Náutico,2:1 (1:1),,
369,,17:00,EC Vitória BA,-,São Caetano,1:2 (1:0),,
370,18.05.2012,21:00,Ceará SC,-,América MG,1:2 (0:2),,
371,,21:00,CR Brasil,-,Bragantino,0:2 (0:1),,
372,,21:00,Ipatinga FC,-,ABC FC,1:1 (0:0),,
373,19.05.2012,16:20,América RN,-,Goiás EC,5:2 (4:1),,
374,,16:20,Joinville EC,-,Atlético Paranaense,1:4 (0:2),,
375,,16:20,Criciúma EC,-,Guaratinguetá,4:1 (2:1),,
376,,16:20,Grêmio Barueri,-,EC Vitória BA,0:1 (0:0),,
377,,16:20,Paraná Clube,-,Guarani FC,1:1 (1:1),,
